city,country,region,latitude,longitude,population,rent_1br_city_center,rent_3br_city_center,avg_net_salary,meal_inexpensive_restaurant,utilities_monthly_85m2,price_per_m2_city_center,internet_monthly_60mbps,monthly_pass_transport,avg_temp_c,temp_std_c,temp_trend_c,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count,so_developer_count,so_employed_dev_count,so_median_salary_usd,so_senior_dev_pct
Tokyo,Japan,Asia-Pacific,35.685,139.751389,31480498.0,1140.47,2526.51,2868.8,7.45,171.22,9144.73,32.85,74.45,16.425571072859153,7.602576504006746,0.1870888677928022,87.42393675412161,35.41522466526806,158.32039247948,38032.03392314085,32.73333333333333,91.84493230625218,-0.32545246345372386,3.3031016666666666,104709.802,17.7211408337315,62.868778228759766,,3.2190224528312674,78.23,46.26527027027027,74.0,386.68918918918916,538.4864864864865,667.4324324324324,71.1,20.853658536585368,27.048780487804876,41.0,38.9,26.0,55.0,44.0,62180.0,85.45454545454545
Shanghai,China,Asia-Pacific,31.045556,121.399722,14608512.0,1091.93,2952.7,1419.87,5.69,66.0,17746.11,17.07,28.47,17.47310973922043,8.89746766525824,0.8267777890149262,73.1260984862525,36.306782124322886,122.22173569683967,11644.208028618066,37.1,63.86706573821652,0.17213533016037938,2.3523866666666664,697534.788,29.699290295128304,64.10136892991642,96.7399978637695,3.89714002609253,54.26,44.81336956521739,92.0,577.9673913043479,641.9891304347826,601.0978260869565,72.0,24.439473684210526,28.97631578947368,38.0,,22.0,37.0,18.0,41786.0,54.054054054054056
Beijing,China,Asia-Pacific,29.346443,116.198733,,1199.13,2784.82,1562.35,4.27,55.64,17761.99,20.83,42.71,12.890326344532255,11.203416972079085,0.022389683684338024,73.1260984862525,36.306782124322886,122.22173569683967,11644.208028618066,37.1,63.86706573821652,0.17213533016037938,2.3523866666666664,697534.788,29.699290295128304,64.10136892991642,96.7399978637695,3.89714002609253,54.26,44.81336956521739,92.0,577.9673913043479,641.9891304347826,601.0978260869565,72.0,24.439473684210526,28.97631578947368,38.0,,22.0,37.0,18.0,41786.0,54.054054054054056
Seoul,South Korea,Asia-Pacific,37.5985,126.9783,10323448.0,742.54,2669.12,2689.62,7.68,182.13,22067.7,22.48,42.25,11.891277404760187,10.674068753127239,0.6795772175452601,,,,,,,,,,,,,,64.82,45.87916666666667,36.0,193.11111111111111,594.0555555555555,577.9166666666666,60.5,27.474999999999998,35.38333333333333,24.0,,10.0,13.0,8.0,47035.0,53.84615384615385
Singapore,Singapore,Asia-Pacific,1.2930556,103.8558333,3547809.0,2734.54,5414.5,4619.45,11.09,145.68,20752.74,35.02,94.65,27.91177638227227,1.2028443449995256,0.3854848186950832,92.71382857273682,27.06751542997188,160.97723822522832,75001.85874938015,,100.0,0.883113824397828,1.920492,12363.446,54.431329535397,94.25333240924306,97.39999961853027,2.6131867170333867,53.44,51.364999999999995,2.0,28.5,145.0,68.0,79.2,72.9,82.5,2.0,,2.0,23.0,18.0,107795.0,56.52173913043478
Hong Kong,Hong Kong,Asia-Pacific,22.2833333,114.15,,2294.53,4623.04,2994.43,7.7,199.78,31427.61,22.84,64.18,24.237867523218323,5.363841938043466,0.5883104533331434,93.22374653643116,38.56377356640825,296.1714400562405,48694.094969636724,,100.0,0.31906913331164155,0.988445,,69.22923501364905,92.61130276340494,,3.845718344052632,48.15,46.03333333333333,6.0,327.5,373.5,276.6666666666667,71.0,43.56666666666666,71.51666666666667,6.0,,1.0,,,,
Bangkok,Thailand,Asia-Pacific,13.753979,100.501444,5104475.0,594.58,2044.33,629.84,2.74,79.55,5534.11,15.46,37.44,28.84379277768138,1.9145563768054512,,77.34928418648308,15.394682152454017,172.02774995556217,7142.129782182244,34.833333333333336,57.82203547159832,0.12652028837162457,1.1481033333333333,15124.297999999999,25.3411599704623,44.3249237154231,92.04666392008464,2.9147110828795966,45.86,44.919999999999995,3.0,867.6666666666666,463.3333333333333,635.6666666666666,,10.857142857142858,24.52857142857143,7.0,,,23.0,11.0,33041.0,69.56521739130434
Jakarta,Indonesia,Asia-Pacific,-6.174444,106.829444,8540306.0,505.59,1172.14,509.12,2.59,83.88,2632.8,31.57,11.34,28.53679401185963,1.2038250994830944,0.609771625501569,56.51987313956895,4.186179521472103,125.54813959075584,4285.986785614478,35.68333333333333,56.59999896354927,0.8414112475078741,0.25943,31441.876,8.220393264447392,39.912383373358985,95.8300018310547,1.0243499150939306,,,,,,,,8.0,13.9,1.0,,,35.0,26.0,5546.0,48.57142857142857
Mumbai,India,Asia-Pacific,18.975,72.82583299999999,,522.4,1411.12,640.81,3.68,43.57,6092.45,9.33,4.91,,,,43.07010707798974,1.8972670941254466,82.17520725133546,2171.98469264707,25.5,34.284479466329564,0.9344816609041886,0.6550033333333333,159732.144,11.354490277953184,30.976433688437698,76.36482280108875,4.256515657356134,45.54,44.54875,16.0,620.5,618.6875,686.625,,17.641176470588235,28.923529411764704,17.0,,3.0,463.0,336.0,20923.0,44.06047516198704
Delhi,India,Asia-Pacific,28.666667,77.216667,10928270.0,229.84,601.02,586.46,4.91,58.07,2506.73,7.95,11.67,24.965682901804577,7.35297708979178,0.9443147993138581,43.07010707798974,1.8972670941254466,82.17520725133546,2171.98469264707,25.5,34.284479466329564,0.9344816609041886,0.6550033333333333,159732.144,11.354490277953184,30.976433688437698,76.36482280108875,4.256515657356134,45.54,44.54875,16.0,620.5,618.6875,686.625,,17.641176470588235,28.923529411764704,17.0,,3.0,463.0,336.0,20923.0,44.06047516198704
