city,country,meal_inexpensive_restaurant,meal_2ppl_midrange,mcmeal_fastfood,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi,water_restaurant,milk_1L,bread_500g,rice_1kg,eggs_12,local_cheese_1kg,chicken_1kg,beef_1kg,apples_1kg,banana_1kg,oranges_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1_5L,bottle_wine_midrange,domestic_beer_0_5L_market,imported_beer_0_33L_market,cigarettes_20pk,one_way_ticket_local,monthly_pass_transport,taxi_start,taxi_1km,taxi_1hr_waiting,gasoline_1L,volkswagen_golf,toyota_corolla,utilities_monthly_85m2,mobile_monthly_1min,internet_monthly_60mbps,fitness_club_monthly,tennis_court_1hr,cinema_ticket,preschool_monthly,intl_primary_school_yearly,jeans_levis,summer_dress,nike_running_shoes,mens_leather_shoes,rent_1br_city_center,rent_1br_outside_center,rent_3br_city_center,rent_3br_outside_center,price_per_m2_city_center,price_per_m2_outside_center,avg_net_salary,mortgage_interest_rate
Seoul,South Korea,7.68,53.78,6.15,3.07,4.99,3.93,1.48,0.79,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,15.36,2.12,2.36,3.46,1.0,42.25,2.92,0.92,9.22,1.43,29192.75,27840.35,182.13,0.16,22.48,55.88,18.33,9.6,404.15,17902.55,58.26,46.36,70.81,110.36,742.54,557.52,2669.12,1731.08,22067.7,10971.9,2689.62,3.47
Shanghai,China,5.69,39.86,5.69,1.14,4.27,3.98,0.53,0.33,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,14.24,0.94,1.97,3.56,0.57,28.47,2.14,0.43,8.54,1.2,19929.68,20750.95,66.0,0.03,17.07,63.49,14.95,8.54,1382.62,26379.45,70.49,34.92,88.21,123.51,1091.93,569.88,2952.7,1561.59,17746.11,9416.35,1419.87,5.03
Mumbai,India,3.68,18.42,3.68,2.46,4.3,2.48,0.48,0.19,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,9.83,2.27,3.61,4.3,0.25,4.91,0.31,0.31,1.23,1.35,12281.76,22790.48,43.57,0.01,9.33,25.37,11.39,4.3,107.07,3682.67,32.77,27.75,49.87,41.17,522.4,294.05,1411.12,699.8,6092.45,2777.51,640.81,7.96
Delhi,India,4.91,22.11,4.3,1.84,3.68,1.77,0.49,0.19,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,9.83,1.54,2.49,4.3,0.49,11.67,0.61,0.22,1.23,1.24,12281.76,22940.65,58.07,0.01,7.95,21.2,8.6,4.91,74.0,1964.24,32.12,33.44,49.99,36.5,229.84,135.31,601.02,329.15,2506.73,1036.74,586.46,8.06
Jakarta,Indonesia,2.59,22.69,3.57,2.06,3.24,2.23,0.61,0.27,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,22.69,2.17,3.24,2.27,0.23,11.34,0.44,0.29,2.92,0.81,25992.44,28106.01,83.88,0.13,31.57,30.89,11.78,3.24,138.64,9667.3,39.51,25.16,72.38,79.85,505.59,277.43,1172.14,615.04,2632.8,1241.09,509.12,9.05
Bangkok,Thailand,2.74,28.8,5.76,2.3,4.32,2.13,0.51,0.27,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,20.16,1.65,2.84,4.32,1.27,37.44,1.01,1.18,5.18,1.21,57600.86,26234.16,79.55,0.04,15.46,57.33,10.37,7.63,512.24,14520.66,56.55,38.02,83.6,96.88,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,5.64
Cairo,Egypt,4.07,20.35,4.07,1.63,2.73,1.75,0.25,0.15,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,8.14,1.29,1.99,2.03,0.28,13.23,0.41,0.14,1.02,0.4,21061.16,21147.47,26.53,0.01,16.37,23.44,8.49,4.48,146.82,2909.45,39.37,37.51,89.61,48.65,196.83,117.45,400.03,233.92,549.42,380.62,200.4,10.87
Sao Paulo,Brazil,7.66,38.32,6.71,2.3,3.45,1.57,1.12,0.79,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,7.66,1.35,2.86,2.3,0.84,45.98,1.05,0.77,9.58,1.26,21458.41,27234.36,69.27,0.29,21.55,25.04,32.46,8.62,414.71,9273.1,58.83,49.57,83.76,65.93,567.7,341.37,990.82,687.44,2542.37,1666.86,445.67,9.4
Mexico City,Mexico,7.74,39.97,6.7,2.58,4.13,2.71,1.07,0.76,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,11.35,1.42,2.55,3.61,0.31,15.69,1.03,0.52,6.19,1.2,19596.21,19925.13,48.85,0.1,26.67,45.15,20.37,4.64,329.13,7425.93,50.84,34.61,84.28,86.26,766.53,481.56,1480.77,850.84,2769.15,1695.8,718.92,10.57
Lagos,Nigeria,3.71,45.03,6.75,1.13,1.8,3.4,0.4,0.26,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,6.75,0.99,1.54,1.13,0.9,33.77,1.29,2.25,4.5,0.39,18911.68,33770.85,28.27,0.04,52.83,40.01,9.63,7.88,129.58,2916.01,20.05,26.88,68.4,68.08,1406.6,714.57,4929.84,2251.39,746.59,301.12,214.64,17.5
Beijing,China,4.27,31.32,5.69,1.42,4.13,4.62,0.52,0.42,2.01,2.17,1.25,1.94,13.04,3.95,12.8,2.03,1.89,1.98,1.48,0.88,1.0,0.88,0.64,12.81,1.03,2.44,4.27,0.71,42.71,1.99,0.43,11.39,1.2,24200.32,22446.36,55.64,0.04,20.83,57.48,30.37,8.54,980.31,27318.57,67.19,43.68,86.62,122.09,1199.13,673.25,2784.82,1453.74,17761.99,9644.53,1562.35,4.94
