country,so_developer_count,so_employed_dev_count,so_median_salary_usd,so_senior_dev_pct
Afghanistan,5,4.0,3093.0,0.0
Albania,4,3.0,116014.0,50.0
Algeria,12,3.0,4438.0,33.33333333333333
Andorra,1,,34804.0,100.0
Angola,1,,13922.0,0.0
Argentina,58,37.0,54425.0,70.6896551724138
Armenia,7,7.0,28643.0,100.0
Australia,216,147.0,102715.0,80.0925925925926
Austria,121,85.0,81210.0,82.64462809917356
Azerbaijan,2,1.0,36000.0,50.0
Bahrain,2,1.0,15909.0,0.0
Bangladesh,55,38.0,8051.0,43.63636363636363
Belarus,8,5.0,35000.0,62.5
Belgium,74,51.0,75410.0,81.08108108108108
Belize,1,,,100.0
Benin,1,,,0.0
Bhutan,1,1.0,11635.0,0.0
Bolivia,3,2.0,8669.5,66.66666666666666
Bosnia and Herzegovina,5,2.0,67720.0,80.0
Botswana,1,,,100.0
Brazil,210,147.0,27306.0,68.57142857142857
Bulgaria,59,50.0,65830.0,79.66101694915254
Cambodia,2,2.0,1270.0,0.0
Cameroon,2,,1265.5,50.0
Canada,424,299.0,91198.0,79.24528301886792
Chile,24,14.0,31809.0,87.5
China,37,18.0,41786.0,54.054054054054056
Colombia,23,19.0,30000.0,73.91304347826086
"Congo, Republic of the...",2,,,0.0
Costa Rica,8,6.0,49421.0,75.0
Croatia,22,17.0,38414.0,68.18181818181817
Cyprus,11,7.0,93972.0,90.9090909090909
Czech Republic,139,75.0,65528.0,78.41726618705036
Côte d'Ivoire,1,1.0,17690.0,0.0
Democratic People's Republic of Korea,1,,,0.0
Democratic Republic of the Congo,1,1.0,,0.0
Denmark,97,75.0,97744.5,81.44329896907216
Dominican Republic,8,5.0,48681.5,50.0
Ecuador,7,3.0,43200.0,85.71428571428571
Egypt,37,24.0,8588.0,32.432432432432435
El Salvador,1,1.0,17000.0,0.0
Estonia,19,15.0,73089.0,84.21052631578947
Ethiopia,3,2.0,536.5,33.33333333333333
Fiji,1,,,100.0
Finland,79,64.0,85851.0,78.48101265822784
France,370,248.0,69609.0,72.70270270270271
Georgia,14,10.0,46138.0,64.28571428571429
Germany,896,692.0,81210.0,76.11607142857143
Ghana,7,3.0,3287.0,0.0
Greece,68,48.0,52207.0,73.52941176470588
Guatemala,5,2.0,34482.5,80.0
Guyana,1,1.0,35871.0,100.0
Haiti,1,,9149.0,100.0
Honduras,3,2.0,26663.0,66.66666666666666
Hong Kong (S.A.R.),21,16.0,94267.5,80.95238095238095
Hungary,76,53.0,48609.0,80.26315789473685
Iceland,1,,,0.0
India,463,336.0,20923.0,44.06047516198704
Indonesia,35,26.0,5546.0,48.57142857142857
"Iran, Islamic Republic of...",60,45.0,20178.0,50.0
Iraq,6,2.0,18000.0,50.0
Ireland,45,33.0,116015.0,75.55555555555556
Isle of Man,2,2.0,69044.5,100.0
Israel,72,56.0,134834.5,72.22222222222221
Italy,213,146.0,46406.0,74.17840375586854
Japan,55,44.0,62180.0,85.45454545454545
Jordan,8,5.0,67702.0,75.0
Kazakhstan,9,6.0,54060.0,66.66666666666666
Kenya,29,13.0,9596.0,20.689655172413794
Kosovo,1,,,100.0
Kyrgyzstan,3,2.0,10519.5,66.66666666666666
Latvia,14,13.0,47566.0,85.71428571428571
Lebanon,6,2.0,41000.0,50.0
Lithuania,38,31.0,66418.0,68.42105263157895
Luxembourg,6,5.0,104413.5,100.0
Madagascar,2,2.0,12423.0,50.0
Malaysia,19,12.0,18850.0,42.10526315789473
Maldives,5,4.0,24600.5,80.0
Malta,6,6.0,33760.0,83.33333333333334
Mauritania,1,1.0,121570.0,0.0
Mauritius,6,2.0,16075.0,50.0
Mexico,55,41.0,31583.0,63.63636363636363
"Micronesia, Federated States of...",1,,1.0,100.0
Montenegro,7,6.0,36545.0,42.857142857142854
Morocco,9,6.0,12533.0,33.33333333333333
Mozambique,1,1.0,9381.0,100.0
Myanmar,3,1.0,18290.0,0.0
Namibia,5,2.0,2413.0,20.0
Nepal,20,15.0,4254.0,25.0
Netherlands,269,202.0,81210.0,80.66914498141264
New Zealand,69,42.0,81318.0,76.81159420289855
Nicaragua,3,2.0,73000.0,100.0
Nigeria,25,4.0,904.0,20.0
Nomadic,5,1.0,165548.5,80.0
North Korea,1,,,0.0
Norway,55,42.0,87957.0,78.18181818181819
Oman,1,1.0,390135.0,0.0
Pakistan,43,23.0,5267.0,41.86046511627907
Palestine,2,1.0,78.0,0.0
Panama,1,,,100.0
Paraguay,3,2.0,37227.0,66.66666666666666
Peru,10,4.0,103088.0,80.0
Philippines,39,27.0,7901.0,46.15384615384615
Poland,224,133.0,60000.0,69.64285714285714
Portugal,64,48.0,63808.0,76.5625
Qatar,1,1.0,46111.0,0.0
Republic of Korea,13,11.0,32704.0,46.15384615384615
Republic of Moldova,3,2.0,25898.5,100.0
Republic of North Macedonia,3,2.0,63808.0,100.0
Romania,78,46.0,57437.0,78.2051282051282
Russian Federation,57,40.0,45934.0,61.40350877192983
Rwanda,3,1.0,32929.5,33.33333333333333
Saint Lucia,1,1.0,16327.0,0.0
Saudi Arabia,5,4.0,22392.5,60.0
Senegal,1,,,0.0
Serbia,46,29.0,41765.0,71.73913043478261
Singapore,23,18.0,107795.0,56.52173913043478
Slovakia,42,25.0,46406.0,66.66666666666666
Slovenia,18,12.0,56847.0,77.77777777777779
South Africa,49,32.0,55871.5,77.55102040816327
South Korea,13,8.0,47035.0,53.84615384615385
Spain,184,140.0,68449.0,82.6086956521739
Sri Lanka,17,15.0,15320.0,58.82352941176471
Sudan,2,1.0,4864.5,0.0
Suriname,1,1.0,24500.0,100.0
Swaziland,1,1.0,4059.0,100.0
Sweden,174,134.0,69182.0,82.18390804597702
Switzerland,163,131.0,136392.0,82.20858895705521
Syrian Arab Republic,2,2.0,6000.0,50.0
Taiwan,25,16.0,58454.0,60.0
Tajikistan,1,1.0,,0.0
Thailand,23,11.0,33041.0,69.56521739130434
Togo,2,2.0,711.0,0.0
Trinidad and Tobago,2,1.0,66000.0,50.0
Tunisia,8,6.0,6720.5,0.0
Turkey,74,43.0,22723.0,52.702702702702695
Uganda,5,2.0,4171.0,40.0
Ukraine,165,110.0,31635.0,56.36363636363636
United Arab Emirates,21,16.0,140233.5,76.19047619047619
United Kingdom of Great Britain and Northern Ireland,610,456.0,95299.0,83.44262295081967
United Republic of Tanzania,1,1.0,,0.0
United States of America,2135,1609.0,150000.0,80.23419203747073
Uruguay,8,4.0,1480.0,75.0
Uzbekistan,4,3.0,24837.5,0.0
"Venezuela, Bolivarian Republic of...",9,6.0,12500.0,55.55555555555556
Viet Nam,36,22.0,11464.0,33.33333333333333
Yemen,5,3.0,10097.0,20.0
