country,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count
Argentina,45.37,44.5175,4.0,837.5,569.25,628.75,,9.0,12.5,1.0,,
Australia,51.61,45.812222222222225,27.0,508.22222222222223,459.1111111111111,435.962962962963,75.4,32.832258064516125,60.60322580645161,31.0,30.2,18.0
Austria,47.03,44.987500000000004,12.0,550.3333333333334,522.0,575.3333333333334,54.2,22.842857142857145,61.771428571428565,7.0,,5.0
Bangladesh,,,,,,,,7.2,9.6,1.0,,
Belarus,,,,,,,,8.7,6.0,1.0,,
Belgium,52.03,46.766000000000005,10.0,370.5,290.1,403.6,74.8,43.17142857142857,64.25714285714285,7.0,27.8,3.0
Brazil,49.31,44.632777777777775,18.0,678.2777777777778,619.8333333333334,620.2222222222222,,17.670588235294115,15.729411764705885,17.0,,4.0
Bulgaria,44.19,44.19,1.0,871.0,645.0,814.0,,,,,,
Canada,60.04,46.78454545454546,33.0,528.7272727272727,342.8787878787879,419.6969696969697,83.9,36.244,58.872,25.0,40.6,19.0
Chile,45.31,44.6725,4.0,508.75,617.5,632.75,,13.333333333333334,28.8,6.0,,1.0
China,54.26,44.81336956521739,92.0,577.9673913043479,641.9891304347826,601.0978260869565,72.0,24.439473684210526,28.97631578947368,38.0,,22.0
Colombia,44.43,44.245000000000005,2.0,805.0,620.0,884.5,,17.450000000000003,23.0,2.0,,
Croatia,44.62,44.62,1.0,650.0,428.0,553.0,,,,,,
Cyprus,44.1,44.1,1.0,816.0,645.0,820.0,,28.5,56.7,1.0,,
Czech Republic,46.32,44.68,5.0,635.2,515.6,655.2,,14.38888888888889,39.75555555555556,9.0,,1.0
Denmark,52.51,48.054,5.0,270.6,185.8,266.2,61.0,32.15,79.45,6.0,35.7,5.0
Egypt,44.25,44.095,4.0,871.0,578.0,889.0,,8.4,14.0,3.0,,1.0
Estonia,44.68,44.68,1.0,426.0,368.0,586.0,,18.9,51.45,2.0,,
Finland,50.04,45.44888888888889,9.0,619.6666666666666,538.5555555555555,456.1111111111111,61.9,26.099999999999998,58.099999999999994,9.0,28.2,5.0
France,59.2,46.03037037037037,54.0,568.7407407407408,510.25925925925924,546.0185185185185,69.0,21.089285714285715,56.68571428571429,28.0,24.9,6.0
